Wavelengths,Transmission
393.6156026,61.37268951
394.0656776,61.2246902
394.5157526,61.07686954
394.9658276,60.92922756
395.4159027,60.78176423
395.8659777,60.63447958
396.3160527,60.48737358
396.7661277,60.34044625
397.2162027,60.19369759
397.6662777,60.04712759
398.1163527,59.90073625
398.5664277,59.75452358
399.0165028,59.60848958
399.4665778,59.46263423
399.9166528,59.31695756
400.3667278,0.026193419
400.8168028,0.037002734
401.2668778,0.049661878
401.7169528,0.064165612
402.1670278,0.080508702
402.6171029,0.09868592
403.0671779,0.118692042
403.5172529,0.14052185
403.9673279,0.16417013
404.4174029,0.189631673
404.8674779,0.216901275
405.3175529,0.245973738
405.7676279,0.276843867
406.217703,0.309506474
406.667778,0.343956374
407.117853,0.380188387
407.567928,0.418197341
408.018003,0.457978064
408.468078,0.499525393
408.918153,0.542834168
409.368228,0.587899235
409.8183031,0.634715443
410.2683781,0.683277648
410.7184531,0.733580709
411.1685281,0.785619493
411.6186031,0.839388869
412.0686781,0.894883711
412.5187531,0.9520989
412.9688281,1.011029321
413.4189032,1.071669862
413.8689782,1.134015418
414.3190532,1.19806089
414.7691282,1.26380118
415.2192032,1.3312312
415.6692782,1.400345861
416.1193532,1.471140085
416.5694282,1.543608795
417.0195033,1.61774692
417.4695783,1.693549393
417.9196533,1.771011155
418.3697283,1.850127147
418.8198033,1.93089232
419.2698783,2.013301626
419.7199533,2.097350025
420.1700283,2.183032479
420.6201034,2.270343957
421.0701784,2.359279432
421.5202534,2.449833882
421.9703284,2.500587478
422.4204034,2.245083156
422.8704784,2.003567866
423.3205534,1.776002461
423.7706284,1.562347831
424.2207035,1.362564904
424.6707785,1.176614646
425.1208535,1.004458057
425.5709285,0.846056179
426.0210035,0.701370086
426.4710785,0.570360893
426.9211535,0.45298975
427.3712285,0.349217846
427.8213036,0.259006406
428.2713786,0.182316691
428.7214536,0.119110003
429.1715286,0.069347676
429.6216036,0.032991086
430.0716786,0.010001643
430.5217536,0.018986657
430.9718286,0.038333356
431.4219037,0.064378879
431.8719787,0.097103721
432.3220537,0.136488394
432.7721287,0.182513431
433.2222037,0.235159383
433.6722787,0.29440682
434.1223537,0.360236331
434.5724287,0.432628524
435.0225038,0.511564025
435.4725788,0.59702348
435.9226538,0.688987554
436.3727288,0.787436929
436.8228038,0.892352308
437.2728788,1.003714412
437.7229538,1.12150398
438.1730288,1.245701773
438.6231039,1.274656098
439.0731789,1.235796117
439.5232539,1.197573523
439.9733289,1.159986616
440.4234039,1.123033695
440.8734789,1.086713062
441.3235539,1.051023019
441.7736289,1.015961871
442.223704,0.981527925
442.673779,0.947719488
443.123854,0.91453487
443.573929,0.881972382
444.024004,0.850030336
444.474079,0.818707047
444.924154,0.78800083
445.374229,0.757910004
445.8243041,0.728432887
446.2743791,0.699567801
446.7244541,0.671313066
447.1745291,0.643667008
447.6246041,0.616627951
448.0746791,0.590194224
448.5247541,0.564364154
448.9748291,0.539136072
449.4249042,0.514508311
449.8749792,0.490479203
450.3250542,0.467047083
450.7751292,0.44421029
451.2252042,0.42196716
451.6752792,0.400316034
452.1253542,0.379255254
452.5754292,0.358783163
453.0255043,0.338898106
453.4755793,0.319598428
453.9256543,0.300882479
454.3757293,0.282748608
454.8258043,0.265195166
455.2758793,0.248220506
455.7259543,0.231822982
456.1760293,0.216000951
456.6261044,0.20075277
457.0761794,0.186076798
457.5262544,0.171971397
457.9763294,0.158434929
458.4264044,0.145465758
458.8764794,0.13306225
459.3265544,0.121222772
459.7766294,0.109945693
460.2267045,0.099229384
460.6767795,0.089072217
461.1268545,0.079472566
461.5769295,0.070428805
462.0270045,0.061939312
462.4770795,0.054002466
462.9271545,0.046616647
463.3772295,0.039780237
463.8273046,0.033491618
464.2773796,0.027749177
464.7274546,0.022551299
465.1775296,0.017896373
465.6276046,0.013782789
466.0776796,0.20433744
466.5277546,0.8497696
466.9778296,1.935297685
467.4279047,3.459591983
467.8779797,5.421324124
468.3280547,7.819167075
468.7781297,8.716381293
469.2282047,8.574594018
469.6782797,8.434101848
470.1283547,8.294901488
470.5784297,8.156989647
471.0285048,8.020363036
471.4785798,7.885018369
471.9286548,7.750952364
472.3787298,7.61816174
472.8288048,7.486643223
473.2788798,7.356393538
473.7289548,7.227409415
474.1790298,7.099687588
474.6291049,6.973224792
475.0791799,6.848017767
475.5292549,6.724063256
475.9793299,6.601358003
476.4294049,6.479898757
476.8794799,6.359682271
477.3295549,6.240705298
477.7796299,6.122964597
478.229705,6.006456929
478.67978,5.891179058
479.129855,5.777127752
479.57993,5.856457722
480.030005,6.437370031
480.48008,7.045105916
480.930155,7.679580532
481.38023,8.340709126
481.8303051,9.028407031
482.2803801,9.742589666
482.7304551,10.48317254
483.1805301,11.25007125
483.6306051,12.04320147
484.0806801,12.86247898
484.5307551,13.70781964
484.9808301,14.57913938
485.4309052,15.47635425
485.8809802,16.39938036
486.3310552,17.34813393
486.7811302,18.32253124
487.2312052,19.32248868
487.6812802,20.31287374
488.1313552,19.81960968
488.5814302,19.33288596
489.0315053,18.85268467
489.4815803,18.37898789
489.9316553,17.91177776
